_ - propertyLabel,_ - propertyURI,mapping.turtle,mapping.kiegel,uwFormOrder,usedInProfile,Notes,sinopiaNotes,CHECKED BY,_ - type,_ - mandatory,_ - repeatable,_ - remark,_ - noteUw,_ - valueConstraint - defaults - _ - defaultLiteral,_ - valueConstraint - defaults - _ - defaultURI,_ - valueConstraint - valueDataType - dataTypeURI,_ - valueConstraint - useValuesFrom - useValuesFrom,_ - valueConstraint - valueTemplateRefs - valueTemplateRefs
item has contributor agent (RDA 18.5),https://doi.org/10.6069/uwlib.55.d.4#hasContributorAgent,"bf:contribution [ a bf:Contribution ;
   bf:agent <value> ] .
# with literal value
bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""value"" ] ] .","contribution >> Contribution > agent*
or
contribution >> Contribution > agent >> Agent > rdfs:label",233.3,,,,,lookup,FALSE,TRUE,http://access.rdatoolkit.org/18.5.html,,,,,,
item held by (*),https://doi.org/10.6069/uwlib.55.d.4#heldBy,"bf:heldBy <value> .
# with literal value
bf:heldBy [ a bf:Agent ;
   rdfs:label ""value"" ] .","heldBy*
or
heldBy >> Agent > rdfs:label",747.1,"""map"",
""serial"",
""graphic"",
""dvdVideo"",
""monograph"",
""soundRecording""","(BMR) Previous mapping used heldBy >> Contribution > role
I'd like to confirm use of bf:heldBy, but as property definition gives expected value of Agent this seems like the way to go.
",,,lookup,FALSE,TRUE,,,,,,,
item has Library of Congress Classification Number Part A,https://doi.org/10.6069/uwlib.55.d.4#hasLcClassificationPartA,"bf:classification [ a bf:ClassificationLcc ;
   rdf:value ""{partA}{partB}"" ] .",classification >> ClassificationLcc > {rdf:value},118.6,"""map"",
""serial"",
""graphic"",
""monograph""",NOTE mapping calls for combining values for two UW RDA extension properties,,,literal,FALSE,TRUE,,,,,,,
item has Library of Congress Classification Number Part B,https://doi.org/10.6069/uwlib.55.d.4#hasLcClassificationPartB,not mapped,not mapped,118.7,"""map"",
""serial"",
""graphic"",
""monograph""",NOTE mapping calls for combining values for two UW RDA extension properties,,,literal,FALSE,TRUE,,,,,,,
item has National Library of Medicine Classification Number Part A,https://doi.org/10.6069/uwlib.55.d.4#hasNlmClassificationPartA,"bf:classification [ a bf:ClassificationNlm ;
   rdf:value ""{partA}{partB}"" ] .",classification >> ClassificationNlm > {rdf:value},119.6,"""monograph"",
""serial"",
""graphic""",NOTE mapping calls for combining values for two UW RDA extension properties,,,literal,FALSE,TRUE,,,,,,,
item has National Library of Medicine Classification Number Part B,https://doi.org/10.6069/uwlib.55.d.4#hasNlmClassificationPartB,not mapped,not mapped,119.7,"""monograph"",
""serial"",
""graphic""",NOTE mapping calls for combining values for two UW RDA extension properties,,,literal,FALSE,TRUE,,,,,,,
item has SuDoc Classification Number,https://doi.org/10.6069/uwlib.55.d.4#hasSuDocClassificationNumber,"bf:classification [ a bf:Classification ;
   rdfs:label ""value"" ;
   bf:source [ a bf:Source;
    rdf:value ""SuDocs classification number"" ] ] .","classification >> Classification > rdfs:label ; source >> Source > rdf:value=""SuDocs classification number""",118.53,"""map"",
""serial"",
""graphic"",
""dvdVideo"",
""monograph"",
""soundRecording""","(BMR) Is Source correct here, or should it be Note? See also ""work has Library of Congress Geographic Classification""",,,literal,FALSE,TRUE,,,,,,,
item has call number,https://doi.org/10.6069/uwlib.55.d.4#hasCallNumber,,not mapped,118.54,"""dvdVideo"",
""soundRecording""",,,,literal,FALSE,FALSE,,,,,,,
item has physical location (example: suzzallen),https://doi.org/10.6069/uwlib.55.d.4#hasPhysicalLocation,"# with IRI
bf:physicalLocation <value>
# with location
bf:physicalLocation ""value""","physicalLocation*
or
physicalLocation",154,"""map"",
""serial"",
""graphic"",
""dvdVideo"",
""monograph"",
""soundRecording""",,,,literal,FALSE,TRUE,,,,,,,
item has physical sublocation (example: szstx),https://doi.org/10.6069/uwlib.55.d.4#hasPhysicalSubLocation,"# with IRI
bf:sublocation <value>
# with location
bf:sublocation [
  a bf:Sublocation;
  rdfs:label ""value""
].","sublocation*
or
sublocation >> Sublocation > rdfs:label",154.1,"""map"",
""serial"",
""graphic"",
""dvdVideo"",
""monograph"",
""soundRecording""",,,,literal,FALSE,TRUE,,,,,,,
item has barcode,https://doi.org/10.6069/uwlib.55.d.4#hasBarcode,"bf:identifier [
  a bf:Barcode;
  rdf:value ""value""
].",identifier >> Barcode > rdf:value,154.2,"""map"",
""serial"",
""graphic"",
""dvdVideo"",
""monograph"",
""soundRecording""",,,,literal,FALSE,TRUE,,,,,,,
